timestamp,equipment,parameter,value,unit
2026-09-01T08:00:00,B-101,vibration_de,4.1,mm_s
2026-09-01T08:00:00,B-101,vibration_nde,3.6,mm_s
2026-09-01T08:00:00,B-101,temperature_de,42.0,deg_c
2026-09-01T08:00:00,B-101,temperature_nde,41.2,deg_c
2026-09-01T12:00:00,B-101,vibration_de,4.2,mm_s
2026-09-01T12:00:00,B-101,vibration_nde,3.7,mm_s
2026-09-01T12:00:00,B-101,temperature_de,43.1,deg_c
2026-09-01T12:00:00,B-101,temperature_nde,42.0,deg_c
2026-09-02T08:00:00,B-101,vibration_de,4.4,mm_s
2026-09-02T08:00:00,B-101,vibration_nde,3.9,mm_s
2026-09-02T08:00:00,B-101,temperature_de,44.0,deg_c
2026-09-02T08:00:00,B-101,temperature_nde,43.0,deg_c
2026-09-02T12:00:00,B-101,vibration_de,4.6,mm_s
2026-09-02T12:00:00,B-101,vibration_nde,4.0,mm_s
2026-09-02T12:00:00,B-101,temperature_de,45.2,deg_c
2026-09-02T12:00:00,B-101,temperature_nde,44.1,deg_c
2026-09-03T08:00:00,B-101,vibration_de,4.9,mm_s
2026-09-03T08:00:00,B-101,vibration_nde,4.2,mm_s
2026-09-03T08:00:00,B-101,temperature_de,47.0,deg_c
2026-09-03T08:00:00,B-101,temperature_nde,45.5,deg_c
2026-09-03T12:00:00,B-101,vibration_de,5.2,mm_s
2026-09-03T12:00:00,B-101,vibration_nde,4.5,mm_s
2026-09-03T12:00:00,B-101,temperature_de,48.4,deg_c
2026-09-03T12:00:00,B-101,temperature_nde,46.7,deg_c
2026-09-04T08:00:00,B-101,vibration_de,5.6,mm_s
2026-09-04T08:00:00,B-101,vibration_nde,4.8,mm_s
2026-09-04T08:00:00,B-101,temperature_de,50.1,deg_c
2026-09-04T08:00:00,B-101,temperature_nde,48.3,deg_c
2026-09-04T12:00:00,B-101,vibration_de,5.9,mm_s
2026-09-04T12:00:00,B-101,vibration_nde,5.1,mm_s
2026-09-04T12:00:00,B-101,temperature_de,52.0,deg_c
2026-09-04T12:00:00,B-101,temperature_nde,49.8,deg_c
2026-09-05T08:00:00,B-101,vibration_de,6.2,mm_s
2026-09-05T08:00:00,B-101,vibration_nde,5.3,mm_s
2026-09-05T08:00:00,B-101,temperature_de,54.0,deg_c
2026-09-05T08:00:00,B-101,temperature_nde,51.2,deg_c
